commercial_area,sex,total_sales
광진초등학교,FEMALE,309220699.0
광화문역,MALE,74243967785.0
광화문역,FEMALE,69307412828.0
광흥창역 1번,MALE,498382192.0
광흥창역 1번,FEMALE,355201437.0
광흥창역 6번,MALE,84345351.0
광흥창역 6번,FEMALE,118892026.0
교대역(법원.검찰청),MALE,101887429024.0
교대역(법원.검찰청),FEMALE,55026463656.0
교대입구교차로,MALE,18700924373.0
교대입구교차로,FEMALE,9950934925.0
교육개발원입구사거리,MALE,6783162063.0
교육개발원입구사거리,FEMALE,4749837354.0
구남초등학교,MALE,1115056763.0
구남초등학교,FEMALE,1048935315.0
구로119안전센터,MALE,1367891108.0
구로119안전센터,FEMALE,489919054.0
구로4동주민센터,MALE,8773513033.0
구로4동주민센터,FEMALE,6532234347.0
구로구민회관,MALE,480829752.0
구로구민회관,FEMALE,447037425.0
구로구청,MALE,11051675950.0
구로구청,FEMALE,8133512369.0
구로나눔길,MALE,5977955415.0
구로나눔길,FEMALE,3926081057.0
구로디지털단지,MALE,61884688530.0
구로디지털단지,FEMALE,39637239827.0
구로디지털단지역,MALE,75134132579.0
구로디지털단지역,FEMALE,40966140753.0
구로디지털단지역 4번,MALE,7284537238.0
구로디지털단지역 4번,FEMALE,3244727544.0
구로보건소,MALE,5542961640.0
구로보건소,FEMALE,2667840301.0
구로세무서,MALE,254348692.0
구로세무서,FEMALE,22716643.0
구로시장,MALE,988712578.0
구로시장,FEMALE,657728347.0
구로역,MALE,27465049708.0
구로역,FEMALE,18088223896.0
구로전화국,MALE,16195625967.0
구로전화국,FEMALE,8374619502.0
구로창업지원센터,MALE,3160003829.0
구로창업지원센터,FEMALE,1193872981.0
구로초등학교,MALE,3267255197.0
구로초등학교,FEMALE,1718625040.0
구립대학경로당(관악산샘말공원),MALE,13036687492.0
구립대학경로당(관악산샘말공원),FEMALE,6983684956.0
구반포역,MALE,268929259.0
구반포역,FEMALE,259034401.0
구산보건지소,MALE,1425493736.0
구산보건지소,FEMALE,936172585.0
구산역,MALE,8703164831.0
구산역,FEMALE,8057265253.0
구산역 1번,MALE,4204116962.0
구산역 1번,FEMALE,2937478329.0
구산역 2번,MALE,897125311.0
구산역 2번,FEMALE,465390044.0
구산역 4번,MALE,3400758612.0
구산역 4번,FEMALE,2472771285.0
구삼강변맛길,MALE,14567460434.0
구삼강변맛길,FEMALE,10966703457.0
구암초등학교,MALE,241840361.0
구암초등학교,FEMALE,234476771.0
구역삼세무서,MALE,24124770042.0
구역삼세무서,FEMALE,15067982748.0
구의1동주민센터,MALE,10369616865.0
구의1동주민센터,FEMALE,6051860257.0
구의사거리,MALE,4693553905.0
구의사거리,FEMALE,2418470665.0
구의역,MALE,40035141964.0
구의역,FEMALE,22062453093.0
구의역 4번,MALE,4394681716.0
구의역 4번,FEMALE,2848896796.0
구파발역,MALE,6269751897.0
구파발역,FEMALE,5018952842.0
국기원,MALE,2496066145.0
국기원,FEMALE,6701272878.0
국립4.19민주묘지,MALE,2290741342.0
국립4.19민주묘지,FEMALE,1498150042.0
국립국악고등학교,MALE,2138088668.0
국립국악고등학교,FEMALE,1466607213.0
국립재활원,MALE,121224535.0
국립재활원,FEMALE,35315896.0
국립정신건강센터,MALE,4527604312.0
국립정신건강센터,FEMALE,2103855428.0
국민대학교앞,MALE,1011675196.0
국민대학교앞,FEMALE,455404315.0
국민은행방학지점,MALE,219127760.0
국민은행방학지점,FEMALE,295090142.0
국악고교사거리,MALE,3292770514.0
국악고교사거리,FEMALE,1882004787.0
국제신학대학원대학교(남서울중학교),MALE,1363938349.0
국제신학대학원대학교(남서울중학교),FEMALE,477659713.0
국회의사당역(국회의사당),MALE,92719663180.0
국회의사당역(국회의사당),FEMALE,63156432416.0
군자역,MALE,55054131911.0
군자역,FEMALE,34685373255.0
군자역 4번,MALE,627536516.0
군자역 4번,FEMALE,563702726.0
군자역 5번,MALE,2893179053.0
군자역 5번,FEMALE,1592323734.0
군자초등학교,MALE,206201819.0
군자초등학교,FEMALE,53464876.0
굽은다리역,MALE,10541990234.0
굽은다리역,FEMALE,8403889924.0
굽은다리역 1번(십자성마을),MALE,4116509099.0
굽은다리역 1번(십자성마을),FEMALE,2272736256.0
굽은다리역 2번,MALE,1416241659.0
굽은다리역 2번,FEMALE,1143904219.0
굽은다리역 3번,MALE,3602869086.0
굽은다리역 3번,FEMALE,3877595638.0
굽은다리역 4번,MALE,5408157714.0
굽은다리역 4번,FEMALE,3141692021.0
그라운드 고척,MALE,10941099564.0
그라운드 고척,FEMALE,8933329136.0
금강수목원아파트,MALE,284554378.0
금강수목원아파트,FEMALE,142726565.0
금남시장,MALE,4302580649.0
금남시장,FEMALE,2879076188.0
금동어린이공원,MALE,1146147366.0
금동어린이공원,FEMALE,641536569.0
금북초등학교,MALE,157521872.0
금북초등학교,FEMALE,110910988.0
금빛새마을금고본점,MALE,420453227.0
금빛새마을금고본점,FEMALE,284973377.0
금산초등학교(금천고등학교),MALE,2952732831.0
금산초등학교(금천고등학교),FEMALE,1497792828.0
금천구립가산도서관,MALE,465163394.0
금천구립가산도서관,FEMALE,178216947.0
금천구청역 1번 출입구,MALE,5323484624.0
금천구청역 1번 출입구,FEMALE,3599440077.0
금천금빛공원(은행나무사거리서측),MALE,4241132728.0
금천금빛공원(은행나무사거리서측),FEMALE,2406443768.0
금천세무서,MALE,180602719.0
금천세무서,FEMALE,61741401.0
금천어울림복지센터,MALE,703839928.0
금천어울림복지센터,FEMALE,556619607.0
금천철쭉어린이공원(금하마을),MALE,538932494.0
금천철쭉어린이공원(금하마을),FEMALE,386270610.0
금천해태공원,MALE,1289252919.0
금천해태공원,FEMALE,699050371.0
금호사거리,MALE,3094934660.0
금호사거리,FEMALE,2026944936.0
금호삼성래미안아파트,MALE,1025844622.0
금호삼성래미안아파트,FEMALE,586848447.0
금호역,MALE,6972520122.0
금호역,FEMALE,4260115082.0
길동복조리시장,MALE,2466828504.0
길동복조리시장,FEMALE,1573191529.0
길동역,MALE,52962594138.0
길동역,FEMALE,27699070381.0
길동주민센터(강동도서관),MALE,8750509000.0
길동주민센터(강동도서관),FEMALE,5612378618.0
길음시장,MALE,344971806.0
길음시장,FEMALE,240971201.0
길음역 7번,MALE,911003996.0
길음역 7번,FEMALE,602147627.0
길음역 8번,MALE,1560173038.0
길음역 8번,FEMALE,1626259501.0
김포공항역(김포공항),MALE,810370098.0
김포공항역(김포공항),FEMALE,750958783.0
까치산시장,MALE,7822191183.0
까치산시장,FEMALE,7314444922.0
까치산역,MALE,29187366171.0
까치산역,FEMALE,13960022880.0
까치산역 1번,MALE,2532884474.0
까치산역 1번,FEMALE,1699033925.0
까치산역 3번,MALE,28130550308.0
까치산역 3번,FEMALE,9636379665.0
까치산역 4번,MALE,6369962349.0
까치산역 4번,FEMALE,3581144132.0
꿈의숲 장곡 골목형상점가,MALE,3110494200.0
꿈의숲 장곡 골목형상점가,FEMALE,1109005651.0
낙성대역 1번(관악구민 종합체육센터),MALE,4109127473.0
낙성대역 1번(관악구민 종합체육센터),FEMALE,2511730985.0
낙성대역 5번(관악중학교),MALE,4129715.0
낙성대역 5번(관악중학교),FEMALE,1806401.0
낙원시장(낙원지하시장(대일상가)),MALE,1293780643.0
낙원시장(낙원지하시장(대일상가)),FEMALE,747068962.0
난곡 골목형상점가,MALE,234655054.0
난곡 골목형상점가,FEMALE,103781552.0
난곡중학교,MALE,390800079.0
난곡중학교,FEMALE,180340481.0
난곡초등학교(난곡동벽화마을),MALE,1417086809.0
난곡초등학교(난곡동벽화마을),FEMALE,814772060.0
난우중학교,MALE,585606964.0
난우중학교,FEMALE,646147916.0
난우초등학교,MALE,4121388347.0
난우초등학교,FEMALE,2450814790.0
난향초등학교,MALE,339222737.0
난향초등학교,FEMALE,138518672.0
남가좌동현대아파트,MALE,232497928.0
남가좌동현대아파트,FEMALE,222542353.0
남가좌파출소,MALE,6449297458.0
남가좌파출소,FEMALE,5420320899.0
남강고등학교(남강중학교),MALE,5122944944.0
남강고등학교(남강중학교),FEMALE,3648178124.0
남구로시장,MALE,4091856575.0
남구로시장,FEMALE,2305138286.0
남구로역 2번,MALE,6287179351.0
남구로역 2번,FEMALE,2845481863.0
남구로역 3번,MALE,9071774513.0
남구로역 3번,FEMALE,3803013170.0
남구로역 5번,MALE,3708124207.0
남구로역 5번,FEMALE,1638437714.0
남대문시장(자유상가),MALE,17521054684.0
남대문시장(자유상가),FEMALE,17915191701.0
남문시장,MALE,1474042772.0
남문시장,FEMALE,866884879.0
"남부골목시장(남부화곡시장, 남부시장)",MALE,4439853247.0
"남부골목시장(남부화곡시장, 남부시장)",FEMALE,3344216444.0
남부초등학교,MALE,1690649513.0
남부초등학교,FEMALE,784239327.0
남부터미널역,MALE,23286231969.0
남부터미널역,FEMALE,13438692891.0
남부터미널역 1번,MALE,428743622.0
남부터미널역 1번,FEMALE,379163245.0
남산골공원옆,MALE,443133248.0
남산골공원옆,FEMALE,225391633.0
남산케이블카,MALE,8594048887.0
남산케이블카,FEMALE,7340296716.0
남성사계시장(남성시장),MALE,20784733854.0
남성사계시장(남성시장),FEMALE,17133712517.0
남성역 1번,MALE,4727334291.0
남성역 1번,FEMALE,3491495635.0
남성역골목시장,MALE,3206715266.0
남성역골목시장,FEMALE,2628588343.0
남영동 먹자골목,MALE,44705384443.0
남영동 먹자골목,FEMALE,30301426111.0
남영역 1번,MALE,6903891460.0
남영역 1번,FEMALE,6336716932.0
남천초등학교,MALE,4109972013.0
남천초등학교,FEMALE,3073858832.0
남태령역(서울전자고등학교),MALE,18555650.0
남태령역(서울전자고등학교),FEMALE,34060800.0
내를건너서숲으로도서관,MALE,95674303.0
내를건너서숲으로도서관,FEMALE,112100252.0
내방역,MALE,26284445928.0
내방역,FEMALE,20924479661.0
내방역 1번,MALE,50072475.0
내방역 1번,FEMALE,93142367.0
내방역 4번,MALE,1849204960.0
내방역 4번,FEMALE,798551153.0
내방역 5번,MALE,219070732.0
내방역 5번,FEMALE,71797511.0
노량진역 6번,MALE,3299576914.0
노량진역 6번,FEMALE,1632984881.0
노량진역(노량진),MALE,58929090656.0
노량진역(노량진),FEMALE,35124058032.0
노량진중앙시장,MALE,5548852549.0
노량진중앙시장,FEMALE,3268009836.0
노량진초등학교,MALE,2654441497.0
노량진초등학교,FEMALE,961548227.0
노룬산시장(노룬산골목시장),MALE,315185362.0
노룬산시장(노룬산골목시장),FEMALE,142569150.0
노원역,MALE,118559373729.0
노원역,FEMALE,92230220289.0
노원역 9번,MALE,138324390.0
노원역 9번,FEMALE,65675110.0
노원초등학교,MALE,9497166535.0
노원초등학교,FEMALE,7629298330.0
녹두거리(대학동),MALE,17975058682.0
녹두거리(대학동),FEMALE,11090975676.0
녹번동근린공원,MALE,548574886.0
녹번동근린공원,FEMALE,351243934.0
논현2동주민센터,MALE,5417236452.0
논현2동주민센터,FEMALE,3671676425.0
논현로18길,MALE,555264448.0
논현로18길,FEMALE,240700137.0
논현목련공원,MALE,76549906.0
논현목련공원,FEMALE,16987211.0
논현역,MALE,51518891072.0
논현역,FEMALE,31833967110.0
논현역 4번,MALE,2172095016.0
논현역 4번,FEMALE,1332326588.0
논현역 5번,MALE,333705900.0
논현역 5번,FEMALE,138068796.0
논현종합시장,MALE,53997355.0
논현종합시장,FEMALE,28526059.0
논현초등학교,MALE,3133891571.0
논현초등학교,FEMALE,1705745661.0
누원고등학교,MALE,1130556141.0
누원고등학교,FEMALE,833297196.0
능동로골목시장,MALE,3470227533.0
능동로골목시장,FEMALE,1608362802.0
능동우편취급국,MALE,5223707203.0
능동우편취급국,FEMALE,2849728287.0
달마을공원,MALE,1787784083.0
달마을공원,FEMALE,1335773416.0
답십리 건축자재시장,MALE,70319665.0
답십리 건축자재시장,FEMALE,46826863.0
답십리공원,MALE,690055338.0
답십리공원,FEMALE,538143161.0
답십리사거리,MALE,11520099867.0
답십리사거리,FEMALE,7664513588.0
답십리시장,MALE,1497646934.0
답십리시장,FEMALE,1453082187.0
답십리역 6번,MALE,314090124.0
답십리역 6번,FEMALE,169404543.0
답십리초등학교,MALE,3920429099.0
답십리초등학교,FEMALE,3270531088.0
답십리현대시장,MALE,1429426797.0
답십리현대시장,FEMALE,697857068.0
당고개역 2번,MALE,1797196566.0
당고개역 2번,FEMALE,1169369490.0
당고개역 5번,MALE,1035740524.0
당고개역 5번,FEMALE,950376496.0
당곡중학교,MALE,4039958758.0
당곡중학교,FEMALE,2607457384.0
당산2동(영등포우체국),MALE,8116049091.0
당산2동(영등포우체국),FEMALE,6276823677.0
당산반도유보라팰리스아파트,MALE,977171391.0
당산반도유보라팰리스아파트,FEMALE,650857566.0
당산역,MALE,39816862683.0
당산역,FEMALE,24707174271.0
당산역 8번,MALE,1436788601.0
당산역 8번,FEMALE,642340593.0
대광초등학교,MALE,143769404.0
대광초등학교,FEMALE,176562543.0
대동초등학교,MALE,3892033539.0
대동초등학교,FEMALE,1461798996.0
대림1동주민센터,MALE,1781323378.0
대림1동주민센터,FEMALE,999465151.0
대림3동사거리,MALE,11263360500.0
대림3동사거리,FEMALE,4630039234.0
대림갑을명가아파트,MALE,253502926.0
대림갑을명가아파트,FEMALE,99364105.0
"대림골목시장(대림시장, 양지시장)",MALE,3171442218.0
"대림골목시장(대림시장, 양지시장)",FEMALE,2325532383.0
대림상가(청계상가),MALE,241828265.0
대림상가(청계상가),FEMALE,295827027.0
대림성모병원,MALE,6473749132.0
대림성모병원,FEMALE,3761096749.0
대림썬프라자,MALE,635471153.0
대림썬프라자,FEMALE,384100394.0
대림역,MALE,34331342163.0
대림역,FEMALE,20909578460.0
대림역 11번,MALE,110828713.0
대림역 11번,FEMALE,18589236.0
대림역 2번,MALE,7235389336.0
대림역 2번,FEMALE,3649474458.0
대림역 5번,MALE,2461625843.0
대림역 5번,FEMALE,897320574.0
대림중앙 골목형상점가,MALE,3600385973.0
대림중앙 골목형상점가,FEMALE,3290004001.0
대림중앙시장,MALE,3671705417.0
대림중앙시장,FEMALE,2505486682.0
대림차이나타운(대림역 12번),MALE,2572937947.0
대림차이나타운(대림역 12번),FEMALE,1391466596.0
대림한신아파트,MALE,330867005.0
대림한신아파트,FEMALE,195096461.0
대명여울빛거리시장(대명시장),MALE,15023279228.0
대명여울빛거리시장(대명시장),FEMALE,8628279012.0
대방역 3번,MALE,8992058941.0
대방역 3번,FEMALE,9631240049.0
대방역 4번,MALE,775426104.0
